ClaimDescription,count,InjuryMethod,InjuryLocation,InjuryType
SLIPPED ON ROLLER TENDONITIS RIGHT SHOULDER,289,,,
SORTING ALUMINIUM BARS STRAIN SHOULDER NECK,278,,,
SLIPPED USING LATHE IN EYE CORNEA,258,,,
REDBACK SPIDER BITE RIGHT FOOT RIGHT FRACTURE,256,,,
LIFTING TYRES LOWER BACK STRAIN,255,,,
LIFTING BACK STRAIN LOWER BACK STRAIN,253,,,
FELL DOWN STAIRS BACK SPRAIN,236,,,
HIT AIR HOSE LACERATED LIP,233,,,
JAMMED RIGHT HAND PUNCTURE WOUND RIGHT ARM,231,,,
USING AIR HOSE STRAIN RIGHT KNEE RIGHT,229,,,
CLEANING INSTRUMENTS LEFT THUMB PENETRATING INJURY LEFT WRIST,218,,,
KNIFE LACERATION LEFT HAND BRUISING TO FACE,206,,,
FRACTURED LEFT WRIST FRACTURE LEFT MIDDLE FINGER,204,,,
WHILE DEALING CARDS RIGHT TENDON SYNOVITIS RIGHT WRIST,197,,,
GRINDING STEEL BEAM INFECTION LEFT LEFT SHOULDER,189,,,
SLIPPED ON STAIRS RIGHT KNEE LACERATED RIGHT SHOULDER,188,,,
LIFTING STRAIN LOWER BACK STRAIN,187,,,
SPRAINED RIGHT ANKLE FRACTURE RIGHT ELBOW,182,,,
HIT FLOOR SHEET RIGHT ARM RIGHT,179,,,
PLAYING VOLLEYBALL STRAIN RIGHT ARM RIGHT,178,,,
LIFTING PARTS STRAIN BACK LOWER BACK STRAIN,178,,,
PREPARING PIPES FOR PAINTING PUNCTURE RIGHT TOE,175,,,
HIT ELBOW ON FIBREGLASS EDGE LEFT ELBOW,167,,,
UNKNOWN GROUND STRAINED LEFT TENDON LEFT HAND,159,,,
STRUCK PALLET LEFT SHOULDER LEFT STRAIN LEFT FOREARM,158,,,
REPETITIVE USE OF RIGHT ARM FRACTURED RIGHT WRIST,153,,,
USING DRILL LEFT WRIST TENDON SYNOVITIS LEFT FOREARM,147,,,
SPRAINED LEFT ANKLE SPRAIN LEFT WRIST,139,,,
CLEANING LEFT SHOULDER SPLINTER LEFT HAND,137,,,
LIFTING TRAILER STRAIN LOWER BACK STRAIN,133,,,
